City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
139,Bilibino,68.0546,166.4372,252.26,79,0,1.28,RU,clear sky
140,Lorengau,-2.0226,147.2712,302.77,68,98,2.29,PG,overcast clouds
141,Olafsvik,64.8945,-23.7142,274.38,82,61,6.82,IS,broken clouds
142,Maracaibo,10.6317,-71.6406,300.23,63,93,5.89,VE,overcast clouds
143,Hobyo,5.3505,48.5268,297.82,80,3,6.78,SO,clear sky
144,Sandwick,60,-1.25,274.15,60,90,7.2,GB,light snow
145,Samarai,-10.6167,150.6667,303.06,68,84,2.29,PG,broken clouds
146,Voh,-20.9667,164.7,303.17,58,16,1.59,NC,few clouds
147,Ilebo,-4.3167,20.5833,295.16,91,58,0.81,CD,broken clouds
148,Inirida,3.8653,-67.9239,297.64,95,100,0.94,CO,overcast clouds
149,Santa Marta,11.2408,-74.199,302.59,60,73,7.15,CO,broken clouds
150,Paamiut,61.994,-49.6678,268.08,80,0,2.8,GL,clear sky
151,Jeremie,18.65,-74.1167,298.58,77,76,0.93,HT,broken clouds
152,Kodinsk,58.6881,99.1844,264.29,96,100,2.68,RU,light snow
153,Weymouth,42.2209,-70.9398,276.48,38,35,6.69,US,scattered clouds
154,Antofagasta,-23.65,-70.4,293.15,73,20,5.66,CL,few clouds
155,Hambantota,6.1241,81.1185,297.82,83,96,6.52,LK,overcast clouds
156,Khandyga,62.6667,135.6,241.55,86,100,0.97,RU,overcast clouds
157,Manado,1.487,124.8455,297.15,100,40,1.03,ID,light rain
158,Mantua,45.1667,10.7833,282.59,96,100,1.79,IT,overcast clouds
159,Garden City,42.3256,-83.331,265.37,67,90,7.72,US,overcast clouds
160,Martil,35.6166,-5.2752,284.15,76,75,6.17,MA,broken clouds
161,Lenoir,35.2335,-77.6497,282.15,49,100,2.72,US,overcast clouds
162,Killybegs,54.6333,-8.45,277.04,87,16,4.02,IE,few clouds
163,Port Keats,-14.25,129.55,302.4,73,97,5.19,AU,heavy intensity rain
164,Ketchikan,55.3422,-131.6461,276.15,87,40,4.63,US,scattered clouds
165,Ilam,26.9167,87.9167,281.25,68,5,2.52,NP,clear sky
166,Selkirk,50.1436,-96.8845,246.15,63,89,1.54,CA,overcast clouds
167,Kota Kinabalu,5.9749,116.0724,298.15,88,20,2.57,MY,few clouds
168,Avera,33.194,-82.5271,278.15,90,90,4.63,US,light intensity drizzle
169,Novobirilyussy,56.9514,90.6661,267.02,96,99,3.55,RU,overcast clouds
170,Talnakh,69.4865,88.3972,238.89,73,0,1.03,RU,clear sky
171,Byron Bay,-28.65,153.6167,301.15,65,40,0.51,AU,scattered clouds
172,Ujszasz,47.3,20.0833,274.26,100,90,5.14,HU,overcast clouds
173,Nuuk,64.1835,-51.7216,273.15,40,20,7.2,GL,few clouds
174,San Alberto,7.7611,-73.3922,301.5,60,95,1.9,CO,overcast clouds
175,Seoul,37.5683,126.9778,276.15,100,90,2.06,KR,fog
176,Upernavik,72.7868,-56.1549,265.86,76,90,1.61,GL,overcast clouds
177,Bodden Town,19.2833,-81.25,301.15,74,20,5.14,KY,few clouds
178,Yumen,40.2833,97.2,270.14,67,98,0.85,CN,overcast clouds
179,Poum,-20.2333,164.0167,299.79,68,0,1.87,NC,clear sky
180,Taperoa,-7.2075,-36.8267,297.73,65,52,5.93,BR,broken clouds
181,Piriyapatna,12.3397,76.0992,288.43,70,52,1.53,IN,broken clouds
182,Saint-Francois,46.4154,3.9054,281.48,100,90,2.57,FR,overcast clouds
183,Cairns,-16.9167,145.7667,303.71,66,90,0.51,AU,overcast clouds
184,Severnoye,56.3491,78.3619,271.82,97,100,7.69,RU,overcast clouds
185,Tautira,-17.7333,-149.15,302.15,61,20,5.66,PF,light rain
186,Natal,-5.795,-35.2094,300.15,78,40,2.06,BR,scattered clouds
187,Berea,41.3662,-81.8543,266.48,49,75,3.6,US,broken clouds
188,Helong,42.5397,128.9972,260.74,85,1,2.16,CN,clear sky
189,Richards Bay,-28.783,32.0377,295.88,87,83,4.05,ZA,broken clouds
190,Sao Joao Da Barra,-21.6403,-41.0511,294.89,96,100,7,BR,moderate rain
191,Orlik,52.5178,99.825,251.47,82,27,0.97,RU,scattered clouds
192,Abidjan,5.3094,-4.0197,301.15,89,20,4.12,CI,few clouds
193,Bathsheba,13.2167,-59.5167,298.15,73,20,7.72,BB,few clouds
194,Pativilca,-10.7,-77.7833,294.47,79,71,3.03,PE,broken clouds
195,Grants,35.1473,-107.8514,283.15,13,1,4.63,US,clear sky
196,Valdivia,-39.8142,-73.2459,293.15,68,0,3.6,CL,clear sky
197,Bubaque,11.2833,-15.8333,299.57,54,55,9.14,GW,broken clouds
198,Cilegon,-6.0174,106.0538,300.15,78,75,6.17,ID,moderate rain
