City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Diffa,13.3154,12.6113,69.06,22,0,9.35,NE,2021-02-15 03:32:54
265,Roma,43.2128,-75.4557,21.2,79,90,3.44,US,2021-02-15 03:32:54
266,Atkarsk,51.8718,45.0078,-8.84,90,25,7.0,RU,2021-02-15 03:32:54
267,Gillette,44.2911,-105.5022,-6.0,71,90,25.32,US,2021-02-15 03:32:54
268,Kalangala,-0.3089,32.225,74.75,73,84,11.9,UG,2021-02-15 03:32:55
269,Marzuq,14.4,46.4667,60.35,41,57,2.48,YE,2021-02-15 03:32:55
270,San Rafael,-34.6177,-68.3301,72.09,36,95,7.76,AR,2021-02-15 03:32:55
271,La Palma,33.8464,-118.0467,62.01,51,1,3.44,US,2021-02-15 03:32:55
272,Voyinka,45.8699,33.9914,19.24,95,26,4.68,UA,2021-02-15 03:32:56
273,San Quintin,30.4833,-115.95,57.42,74,77,16.58,MX,2021-02-15 03:28:06
274,Murray Bridge,-35.1167,139.2667,82.0,40,0,1.99,AU,2021-02-15 03:32:56
275,Oistins,13.0667,-59.5333,78.8,65,20,23.02,BB,2021-02-15 03:32:56
276,Lagoa,39.05,-27.9833,53.04,64,86,32.75,PT,2021-02-15 03:32:57
277,Kilinochchi,9.3961,80.3982,80.6,71,79,7.27,LK,2021-02-15 03:32:57
278,Chodavaram,17.8333,82.95,75.2,69,20,4.61,IN,2021-02-15 03:32:57
279,Madras,13.0878,80.2785,77.0,78,20,2.3,IN,2021-02-15 03:28:29
280,Muros,42.7762,-9.0603,57.99,65,79,11.99,ES,2021-02-15 03:32:57
281,Saint-Augustin,51.226,-58.6502,3.18,90,94,7.92,CA,2021-02-15 03:32:57
282,Surt,31.2089,16.5887,56.28,84,100,12.59,LY,2021-02-15 03:32:58
283,Tura,25.5198,90.2201,76.66,30,0,3.2,IN,2021-02-15 03:32:58
284,Nouadhibou,20.931,-17.0347,62.6,77,0,16.11,MR,2021-02-15 03:32:58
285,Upington,-28.4478,21.2561,60.8,67,0,12.66,ZA,2021-02-15 03:32:58
286,Dukat,62.55,155.55,-22.61,84,8,2.84,RU,2021-02-15 03:32:58
287,Mount Isa,-20.7333,139.5,91.4,46,40,5.75,AU,2021-02-15 03:32:58
288,Gorontalo,0.5412,123.0595,86.77,64,99,5.95,ID,2021-02-15 03:32:58
289,Muisne,0.6,-80.0333,77.25,84,65,4.76,EC,2021-02-15 03:32:59
290,Khor,47.8861,134.9464,6.49,90,100,3.42,RU,2021-02-15 03:32:59
291,Lorengau,-2.0226,147.2712,83.62,74,100,5.5,PG,2021-02-15 03:32:59
292,Sudislavl,57.8817,41.7083,-9.99,89,99,7.81,RU,2021-02-15 03:33:00
293,Muscat,23.6139,58.5922,62.6,72,0,4.61,OM,2021-02-15 03:33:00
294,Wadena,46.4425,-95.1361,-18.4,69,1,3.44,US,2021-02-15 03:33:00
295,Kralendijk,12.15,-68.2667,78.8,78,20,17.27,BQ,2021-02-15 03:33:00
296,Chaozhou,23.6651,116.6379,75.2,35,0,4.47,CN,2021-02-15 03:33:00
297,Normandin,48.8333,-72.5321,12.2,78,75,4.41,CA,2021-02-15 03:33:01
298,Lata,40.1629,-8.3327,57.0,89,91,4.63,PT,2021-02-15 03:33:01
299,Shakhtinsk,49.71,72.5872,19.4,79,0,20.13,KZ,2021-02-15 03:33:01
300,Mecca,21.4267,39.8261,74.17,58,0,2.28,SA,2021-02-15 03:30:01
301,Uzhur,55.3036,89.8339,14.18,96,100,7.23,RU,2021-02-15 03:33:02
302,Nhulunbuy,-12.2333,136.7667,86.0,74,40,14.97,AU,2021-02-15 03:33:03
303,Qasigiannguit,68.8193,-51.1922,8.6,61,90,11.5,GL,2021-02-15 03:33:03
304,Kazanskaya,45.4106,40.4361,28.0,91,100,6.85,RU,2021-02-15 03:33:04
