City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
115,115,Cayenne,4.9333,-52.3333,298.15,100,90,0.51,GF,mist
116,116,Osakarovka,50.565,72.5692,266.49,96,100,13.02,KZ,overcast clouds
117,117,Portland,45.5234,-122.6762,281.48,87,90,9.26,US,light intensity drizzle
118,118,Montepuez,-13.1256,38.9997,294.15,100,100,1.76,MZ,moderate rain
119,119,Turan,16.0678,108.2208,294.15,88,75,0.51,VN,broken clouds
120,120,Burns Lake,54.2331,-125.7533,265.15,79,100,2.57,CA,light snow
121,121,Vila Franca Do Campo,37.7167,-25.4333,288.15,94,75,9.77,PT,broken clouds
122,122,Jamestown,42.097,-79.2353,265.15,53,1,3.09,US,clear sky
123,123,Camana,-16.6228,-72.7111,295.19,77,99,1.77,PE,overcast clouds
124,124,Coquimbo,-29.9533,-71.3436,289.15,82,0,4.63,CL,clear sky
126,126,Pontes E Lacerda,-15.2261,-59.3353,296.7,75,4,0.87,BR,clear sky
127,127,Lavrentiya,65.5833,-171.0,250.29,79,0,0.28,RU,clear sky
128,128,Talnakh,69.4865,88.3972,239.09,72,0,0.82,RU,clear sky
129,129,Zaragoza,41.6561,-0.8773,281.48,76,40,9.26,ES,scattered clouds
130,130,Jasper,37.2001,-94.3502,270.37,80,90,9.26,US,light snow
131,131,Phimai,15.2232,102.4947,296.48,100,39,1.03,TH,scattered clouds
132,132,Tuktoyaktuk,69.4541,-133.0374,246.15,76,90,9.77,CA,snow
134,134,Shaunavon,49.6501,-108.4181,250.15,70,100,4.63,CA,overcast clouds
135,135,Inongo,-1.95,18.2667,296.9,87,66,1.28,CD,broken clouds
136,136,Mandurah,-32.55,115.7,291.48,94,90,8.75,AU,moderate rain
137,137,San Patricio,28.017,-97.5169,295.15,43,1,2.06,US,clear sky
138,138,Hofn,64.2539,-15.2082,273.14,94,99,8.23,IS,heavy snow
139,139,Chuy,-33.6971,-53.4616,292.62,88,0,4.34,UY,clear sky
140,140,Dawei,14.0833,98.2,296.71,54,3,1.37,MM,clear sky
141,141,Hualmay,-11.0964,-77.6139,294.82,78,100,3.7,PE,overcast clouds
142,142,Makasar,-5.14,119.4221,299.15,89,20,1.54,ID,few clouds
143,143,College,64.8569,-147.8028,252.59,71,90,0.4,US,light snow
145,145,Yueyang,29.3333,113.0919,285.4,76,48,1.39,CN,scattered clouds
146,146,Chalons-En-Champagne,48.9539,4.3672,280.93,100,90,3.6,FR,mist
148,148,Newport,51.5877,-2.9984,278.71,91,100,8.94,GB,overcast clouds
149,149,Manacapuru,-3.2997,-60.6206,298.15,94,40,0.51,BR,scattered clouds
